Timestamp,Open,High,Low,Close,Volume,VWAP,Donchian_High,Donchian_Low
2025-03-31 13:33:00,217.28,217.7749,216.95,217.125,389381,217.125,,
2025-03-31 13:34:00,217.14,217.4288,216.8,217.1,474195,217.11127234314063,,
2025-03-31 13:35:00,217.1,217.61,217.0,217.29,431807,217.1708499764162,,
2025-03-31 13:36:00,217.32,217.41,216.41,216.46,364256,217.01483329507198,,
2025-03-31 13:37:00,216.4894,217.34,216.22,216.45,281058,216.93303231519397,,
2025-03-31 13:38:00,216.47,217.21,216.29,216.785,292141,216.91366400070223,,
2025-03-31 13:39:00,216.788,217.21,216.5,216.7512,218334,216.8991927946305,,
2025-03-31 13:40:00,216.78,217.2835,216.74,217.0288,193241,216.9086638666502,,
2025-03-31 13:41:00,216.9244,217.9,216.7044,217.6699,286774,216.98313974652592,,
2025-03-31 13:42:00,217.63,217.94,216.9247,217.88,263037,217.0569941257094,,
2025-03-31 13:43:00,217.88,218.18,217.21,217.99,247789,217.12416080770177,,
2025-03-31 13:44:00,218.03,218.35,217.21,217.9701,220139,217.175011839514,,
2025-03-31 13:45:00,218.01,218.03,216.85,217.2688,264210,217.18132296668009,,
2025-03-31 13:46:00,217.23,218.07,217.2185,217.7,267933,217.21445623307372,,
2025-03-31 13:47:00,217.67,218.0,217.34,217.6788,188594,217.23443676381035,,
2025-03-31 13:48:00,217.62,218.13,217.54,218.1112,200434,217.2727786311591,,
2025-03-31 13:49:00,218.1269,218.2,217.674,217.894,329271,217.3144165481821,,
2025-03-31 13:50:00,217.9198,218.01,217.45,217.5389,185189,217.3225714394277,,
2025-03-31 13:51:00,217.535,218.01,217.43,217.875,117186,217.3349851073324,,
2025-03-31 13:52:00,217.86,218.08,216.89,217.7181,118370,217.3434880938939,218.35,216.22
2025-03-31 13:53:00,217.715,217.856,217.3,217.33,124557,217.34318027628228,218.35,216.22
2025-03-31 13:54:00,217.325,217.791,216.58,217.5098,102536,217.34625279294843,218.35,216.22
2025-03-31 13:55:00,217.49,217.88,217.39,217.8112,83031,217.3530934564823,218.35,216.22
2025-03-31 13:56:00,217.85,218.1,217.4926,217.9699,126791,217.36664667588286,218.35,216.22
2025-03-31 13:57:00,217.955,217.9788,217.52,217.53,88370,217.36911065603454,218.35,216.29
2025-03-31 13:58:00,217.555,218.27,217.055,217.1,100124,217.36458882773695,218.35,216.5
2025-03-31 13:59:00,217.08,217.6625,216.8301,217.1419,212454,217.35692239059748,218.35,216.58
2025-03-31 14:00:00,217.14,217.5072,217.0128,217.34,83934,217.35669531896664,218.35,216.58
2025-03-31 14:01:00,217.0962,217.66,217.0962,217.4708,95344,217.3584084487944,218.35,216.58
2025-03-31 14:02:00,217.476,217.67,217.2692,217.36,116235,217.3584370558931,218.35,216.58
2025-03-31 14:03:00,217.37,217.5062,217.26,217.3688,102035,217.35859802761553,218.35,216.58
2025-03-31 14:04:00,217.35,217.47,217.03,217.1051,113497,217.35429240023595,218.27,216.58
2025-03-31 14:05:00,217.095,217.4186,217.01,217.128,114839,217.35046911582396,218.27,216.58
2025-03-31 14:06:00,217.115,217.7087,217.1,217.6988,144461,217.35771825320776,218.27,216.58
2025-03-31 14:07:00,217.71,217.95,217.3181,217.3604,75489,217.3577471033353,218.27,216.58
